creation_time,arrival_time,index,size
1764267173066,1764267173106,2,1352
1764267173066,1764267173107,1,1352
1764267173066,1764267173107,5,1352
1764267173066,1764267173107,7,1352
1764267173066,1764267173107,3,1352
1764267173066,1764267173108,4,1352
1764267173074,1764267173108,8,1352
1764267173066,1764267173108,6,1352
1764267173108,1764267173117,9,1352
1764267173149,1764267173159,10,1352
1764267173191,1764267173208,11,1352
1764267173191,1764267173211,12,1352
1764267173191,1764267173212,14,1352
1764267173191,1764267173213,13,1352
1764267173233,1764267173265,15,1352
1764267173233,1764267173266,18,1352
1764267173233,1764267173266,20,1352
1764267173233,1764267173269,22,1352
1764267173233,1764267173269,16,1352
1764267173233,1764267173270,17,1352
1764267173233,1764267173270,19,1352
1764267173233,1764267173271,21,1352
1764267173274,1764267173314,24,1352
1764267173274,1764267173314,25,1352
1764267173274,1764267173314,27,1352
1764267173274,1764267173315,29,1352
1764267173274,1764267173315,26,1352
1764267173274,1764267173315,28,1352
1764267173274,1764267173316,30,1352
1764267173316,1764267173347,32,1352
1764267173316,1764267173348,35,1352
1764267173316,1764267173349,36,1352
1764267173316,1764267173349,39,1352
1764267173316,1764267173349,37,1352
1764267173316,1764267173350,38,1352
1764267173358,1764267173382,41,1352
1764267173358,1764267173383,45,1352
1764267173358,1764267173383,42,1352
1764267173358,1764267173384,44,1352
1764267173399,1764267173434,47,1352
1764267173400,1764267173435,49,1352
1764267173399,1764267173435,48,1352
1764267173400,1764267173436,51,1352
1764267173400,1764267173436,52,1352
1764267173400,1764267173437,53,1352
1764267173441,1764267173481,54,1352
1764267173441,1764267173482,59,1352
1764267173441,1764267173482,56,1352
1764267173441,1764267173483,62,1352
1764267173441,1764267173483,60,1352
1764267173483,1764267173522,64,1352
1764267173483,1764267173523,66,1352
1764267173483,1764267173523,63,1352
1764267173483,1764267173523,67,1352
1764267173483,1764267173524,65,1352
1764267173483,1764267173524,70,1352
1764267173483,1764267173524,68,1352
1764267173483,1764267173525,69,1352
1764267173483,1764267173526,71,1352
1764267173524,1764267173609,75,1352
1764267173483,1764267173609,72,1352
1764267173524,1764267173647,74,1352
1764267173524,1764267173647,73,1352
1764267173524,1764267173648,76,1352
1764267173524,1764267173648,77,1352
1764267173525,1764267173649,81,1352
1764267173566,1764267173650,86,1352
1764267173566,1764267173650,87,1352
